        size,          ops,         time,      op/time
        1024,    156250000,     0.095575,  1.63484e+09
        2048,    156249984,     0.089583,  1.74419e+09
        3072,    156249984,     0.095155,  1.64206e+09
        4096,    156249984,     0.089429,   1.7472e+09
        5120,    156250000,     0.093578,  1.66973e+09
        6144,    156249984,     0.093299,  1.67472e+09
        7168,    156249968,     0.085752,  1.82211e+09
        8192,    156249984,     0.089424,  1.74729e+09
        9216,    156249936,     0.088574,  1.76406e+09
       10240,    156249920,     0.087914,   1.7773e+09
       11264,    156249984,     0.090062,  1.73492e+09
       12288,    156249984,     0.087797,  1.77967e+09
       13312,    156249808,     0.086737,  1.80142e+09
       14336,    156249856,     0.086049,  1.81582e+09
       15360,    156249840,     0.086599,  1.80429e+09
       16384,    156249856,     0.085293,  1.83192e+09
       17408,    156249856,     0.085123,  1.83558e+09
       18432,    156249792,     0.084721,  1.84429e+09
       19456,    156249920,     0.084769,  1.84324e+09
       20480,    156249920,     0.084663,  1.84555e+09
       21504,    156249744,     0.084944,  1.83944e+09
       22528,    156249984,     0.084284,  1.85385e+09
       23552,    156249856,     0.085091,  1.83627e+09
       24576,    156249984,     0.084326,  1.85293e+09
       25600,    156250000,     0.083949,  1.86125e+09
       26624,    156249600,     0.084552,  1.84797e+09
       27648,    156249648,     0.084276,  1.85402e+09
       28672,    156249856,     0.083583,   1.8694e+09
       29696,    156249680,     0.084127,  1.85731e+09
       30720,    156249600,     0.083631,  1.86832e+09
       31744,    156249920,     0.083657,  1.86774e+09
       32768,    156249600,     0.084080,  1.85834e+09
       33792,    156249984,     0.083972,  1.86074e+09
       34816,    156249856,     0.101455,  1.54009e+09
       35840,    156249520,     0.117347,  1.33152e+09
       36864,    156249792,     0.140425,  1.11269e+09
       37888,    156249520,     0.140911,  1.10885e+09
       38912,    156249920,     0.142220,  1.09865e+09
       39936,    156249600,     0.142559,  1.09603e+09
       40960,    156249600,     0.145907,  1.07088e+09
       41984,    156249360,     0.140976,  1.10834e+09
       43008,    156249408,     0.141507,  1.10418e+09
       44032,    156249616,     0.142436,  1.09698e+09
       45056,    156249984,     0.142711,  1.09487e+09
       46080,    156249360,     0.142673,  1.09516e+09
       47104,    156249856,     0.143419,  1.08946e+09
       48128,    156249808,     0.142892,  1.09348e+09
       49152,    156249600,     0.142065,  1.09985e+09
       50176,    156249632,     0.143974,  1.08526e+09
       51200,    156249600,     0.141067,  1.10763e+09
       52224,    156249312,     0.142072,  1.09979e+09
       53248,    156249600,     0.141578,  1.10363e+09
       54272,    156249936,     0.142256,  1.09837e+09
       55296,    156249216,     0.143368,  1.08985e+09
       56320,    156249280,     0.142869,  1.09365e+09
       57344,    156249856,     0.141928,  1.10091e+09
       58368,    156249312,     0.142732,   1.0947e+09
       59392,    156249216,     0.142373,  1.09746e+09
       60416,    156249936,     0.142386,  1.09737e+09
       61440,    156249600,     0.144399,  1.08207e+09
       62464,    156249792,     0.142287,  1.09813e+09
       63488,    156249920,     0.144663,   1.0801e+09
       64512,    156249072,     0.142732,   1.0947e+09
       65536,    156249088,     0.145308,   1.0753e+09
       66560,    156249600,     0.143547,  1.08849e+09
       67584,    156249984,     0.143227,  1.09093e+09
       68608,    156249360,     0.142768,  1.09443e+09
       69632,    156249856,     0.142113,  1.09948e+09
       70656,    156249120,     0.142434,  1.09699e+09
       71680,    156248960,     0.142439,  1.09695e+09
       72704,    156249984,     0.146015,   1.0701e+09
       73728,    156249216,     0.150272,  1.03978e+09
       74752,    156249200,     0.158272,  9.87219e+08
       75776,    156248928,     0.160234,   9.7513e+08
       76800,    156249600,     0.160594,  9.72948e+08
       77824,    156249920,     0.162968,  9.58777e+08
       78848,    156249632,     0.159931,  9.76982e+08
       79872,    156249600,     0.155496,  1.00485e+09
       80896,    156249360,     0.157407,  9.92646e+08
