        size,          ops,         time,      time/op
           2,       256000,     0.000134,  5.23438e-10
           4,       128000,     0.000069,  5.39063e-10
           6,        85334,     0.000046,  5.39058e-10
           8,        64000,     0.000034,   5.3125e-10
          10,        51200,     0.000030,  5.85937e-10
          12,        42667,     0.000107,  2.50779e-09
          14,        36572,     0.000022,  6.01553e-10
          16,        32000,     0.000021,   6.5625e-10
          18,        28445,     0.000019,  6.67956e-10
          20,        25600,     0.000017,  6.64063e-10
          22,        23273,     0.000017,   7.3046e-10
          24,        21334,     0.000020,  9.37471e-10
          26,        19693,     0.000016,  8.12471e-10
          28,        18286,     0.000018,   9.8436e-10
          30,        17067,     0.000015,  8.78889e-10
          32,        16000,     0.000017,   1.0625e-09
          34,        15059,     0.000016,  1.06249e-09
          36,        14223,     0.000022,  1.54679e-09
          38,        13474,     0.000019,  1.41012e-09
          40,        12800,     0.000022,  1.71875e-09
          42,        12191,     0.000013,  1.06636e-09
          44,        11637,     0.000013,  1.11713e-09
          46,        11131,     0.000018,  1.61711e-09
          48,        10667,     0.000013,  1.21871e-09
          50,        10240,     0.000013,  1.26953e-09
          52,         9847,     0.000014,  1.42175e-09
          54,         9482,     0.000013,  1.37102e-09
          56,         9143,     0.000014,  1.53123e-09
          58,         8828,     0.000012,  1.35931e-09
          60,         8534,     0.000012,  1.40614e-09
          62,         8259,     0.000013,  1.57404e-09
          64,         8000,     0.000014,     1.75e-09
          66,         7758,     0.000018,  2.32019e-09
          68,         7530,     0.000014,  1.85923e-09
          70,         7315,     0.000018,   2.4607e-09
          72,         7112,     0.000016,  2.24972e-09
          74,         6919,     0.000012,  1.73435e-09
          76,         6737,     0.000017,  2.52338e-09
          78,         6565,     0.000012,  1.82788e-09
          80,         6400,     0.000012,    1.875e-09
          82,         6244,     0.000016,  2.56246e-09
          84,         6096,     0.000011,  1.80446e-09
          86,         5954,     0.000024,   4.0309e-09
          88,         5819,     0.000014,  2.40591e-09
          90,         5689,     0.000013,  2.28511e-09
          92,         5566,     0.000015,  2.69493e-09
          94,         5447,     0.000014,  2.57022e-09
          96,         5334,     0.000009,  1.68729e-09
          98,         5225,     0.000015,  2.87081e-09
         100,         5120,     0.000013,  2.53906e-09
         102,         5020,     0.000010,  1.99203e-09
         104,         4924,     0.000016,  3.24939e-09
         106,         4831,     0.000022,  4.55392e-09
         108,         4741,     0.000011,  2.32019e-09
         110,         4655,     0.000014,  3.00752e-09
         112,         4572,     0.000013,  2.84339e-09
         114,         4492,     0.000014,  3.11665e-09
         116,         4414,     0.000022,  4.98414e-09
         118,         4339,     0.000007,  1.61327e-09
         120,         4267,     0.000009,  2.10921e-09
         122,         4197,     0.000013,  3.09745e-09
         124,         4130,     0.000008,  1.93705e-09
         126,         4064,     0.000009,  2.21457e-09
         128,         4000,     0.000011,     2.75e-09
         130,         3939,     0.000009,  2.28484e-09
         132,         3879,     0.000010,  2.57798e-09
         134,         3821,     0.000019,  4.97252e-09
         136,         3765,     0.000008,  2.12483e-09
         138,         3711,     0.000021,  5.65885e-09
         140,         3658,     0.000008,  2.18699e-09
         142,         3606,     0.000009,  2.49584e-09
         144,         3556,     0.000009,  2.53093e-09
         146,         3507,     0.000020,  5.70288e-09
         148,         3460,     0.000008,  2.31214e-09
         150,         3414,     0.000028,  8.20152e-09
         152,         3369,     0.000008,  2.37459e-09
         154,         3325,     0.000010,  3.00752e-09
         156,         3283,     0.000010,  3.04599e-09
         158,         3241,     0.000009,  2.77692e-09
         160,         3200,     0.000008,      2.5e-09
         162,         3161,     0.000007,  2.21449e-09
         164,         3122,     0.000007,  2.24215e-09
         166,         3085,     0.000007,  2.26904e-09
         168,         3048,     0.000007,  2.29659e-09
         170,         3012,     0.000006,  1.99203e-09
         172,         2977,     0.000006,  2.01545e-09
         174,         2943,     0.000009,   3.0581e-09
         176,         2910,     0.000009,  3.09278e-09
         178,         2877,     0.000008,  2.78067e-09
         180,         2845,     0.000010,  3.51494e-09
         182,         2814,     0.000007,  2.48756e-09
         184,         2783,     0.000010,  3.59324e-09
         186,         2753,     0.000007,  2.54268e-09
         188,         2724,     0.000011,  4.03818e-09
         190,         2695,     0.000006,  2.22635e-09
         192,         2667,     0.000006,  2.24972e-09
         194,         2640,     0.000006,  2.27273e-09
         196,         2613,     0.000007,  2.67891e-09
         198,         2586,     0.000006,  2.32019e-09
         200,         2560,     0.000006,  2.34375e-09
         202,         2535,     0.000006,  2.36686e-09
         204,         2510,     0.000006,  2.39044e-09
         206,         2486,     0.000005,  2.01126e-09
         208,         2462,     0.000021,  8.52965e-09
         210,         2439,     0.000005,  2.05002e-09
         212,         2416,     0.000006,  2.48344e-09
         214,         2393,     0.000005,  2.08943e-09
         216,         2371,     0.000005,  2.10881e-09
         218,         2349,     0.000010,  4.25713e-09
         220,         2328,     0.000004,  1.71821e-09
         222,         2307,     0.000006,  2.60078e-09
         224,         2286,     0.000006,  2.62467e-09
         226,         2266,     0.000018,  7.94351e-09
         228,         2246,     0.000005,  2.22618e-09
         230,         2227,     0.000005,  2.24517e-09
         232,         2207,     0.000005,  2.26552e-09
         234,         2189,     0.000005,  2.28415e-09
         236,         2170,     0.000007,  3.22581e-09
         238,         2152,     0.000006,   2.7881e-09
         240,         2134,     0.000007,  3.28022e-09
         242,         2116,     0.000006,  2.83554e-09
         244,         2099,     0.000005,  2.38209e-09
         246,         2082,     0.000004,  1.92123e-09
         248,         2065,     0.000006,  2.90557e-09
         250,         2048,     0.000005,  2.44141e-09
         252,         2032,     0.000008,  3.93701e-09
         254,         2016,     0.000005,  2.48016e-09
         256,         2000,     0.000006,        3e-09
